IndexNumber_Target,CCT_Target,Duv_Target,Duv_signed,CIEu1960_Target,CIEv1960_Target,CIEu1976_Target,CIEv1976_Target
136,3147,0.015,0.015,0.239748008357401,0.359397968043537,0.239748008357401,0.539096952065306
137,3147,0.018,0.018,0.238570144728881,0.362157068852245,0.238570144728881,0.543235603278367
138,3147,0.0209999999999999,0.0209999999999999,0.237392281100361,0.364916169660952,0.237392281100361,0.547374254491428
139,3147,0.024,0.024,0.236214417471842,0.36767527046966,0.236214417471842,0.55151290570449
140,3147,0.027,0.027,0.235036553843322,0.370434371278367,0.235036553843322,0.555651556917551
141,3147,0.03,0.03,0.233858690214802,0.373193472087075,0.233858690214802,0.559790208130612
142,3147,0.033,0.033,0.232680826586282,0.375952572895782,0.232680826586282,0.563928859343673
143,3147,0.036,0.036,0.231502962957762,0.37871167370449,0.231502962957762,0.568067510556734
144,3147,0.039,0.039,0.230325099329243,0.381470774513197,0.230325099329243,0.572206161769796
145,3147,0.0419999999999999,0.0419999999999999,0.229147235700723,0.384229875321904,0.229147235700723,0.576344812982857
146,3147,0.045,0.045,0.227969372072203,0.386988976130612,0.227969372072203,0.580483464195918
147,3147,0.048,0.048,0.226791508443683,0.389748076939319,0.226791508443683,0.584622115408979
148,3147,0,0,0.2456373265,0.345602464,0.2456373265,0.518403696
149,3147,0.00300000000000004,-0.00300000000000004,0.24681519012852,0.342843363191292,0.24681519012852,0.514265044786939
150,3147,0.00600000000000002,-0.00600000000000002,0.24799305375704,0.340084262382585,0.24799305375704,0.510126393573878
151,3147,0.00900000000000001,-0.00900000000000001,0.249170917385559,0.337325161573878,0.249170917385559,0.505987742360816
152,3147,0.012,-0.012,0.250348781014079,0.33456606076517,0.250348781014079,0.501849091147755
153,3147,0.015,-0.015,0.251526644642599,0.331806959956463,0.251526644642599,0.497710439934694
154,3147,0.018,-0.018,0.252704508271119,0.329047859147755,0.252704508271119,0.493571788721633
155,3147,0.0209999999999999,-0.0209999999999999,0.253882371899639,0.326288758339048,0.253882371899639,0.489433137508572
156,3147,0.024,-0.024,0.255060235528158,0.32352965753034,0.255060235528158,0.48529448629551
157,3147,0.027,-0.027,0.256238099156678,0.320770556721633,0.256238099156678,0.481155835082449
158,3147,0.03,-0.03,0.257415962785198,0.318011455912925,0.257415962785198,0.477017183869388
159,3147,0.033,-0.033,0.258593826413718,0.315252355104218,0.258593826413718,0.472878532656327
160,3147,0.036,-0.036,0.259771690042238,0.31249325429551,0.259771690042238,0.468739881443266
161,3147,0.039,-0.039,0.260949553670757,0.309734153486803,0.260949553670757,0.464601230230204
162,3147,0.0419999999999999,-0.0419999999999999,0.262127417299277,0.306975052678095,0.262127417299277,0.460462579017143
163,3147,0.045,-0.045,0.263305280927797,0.304215951869388,0.263305280927797,0.456323927804082
164,3147,0.048,-0.048,0.264483144556317,0.301456851060681,0.264483144556317,0.452185276591021
165,3292,0.00299999999999994,0.00299999999999994,0.239981278022039,0.346351700165426,0.239981278022039,0.51952755024814
166,3292,0.00599999999999999,0.00599999999999999,0.238701223344079,0.349064901230853,0.238701223344079,0.523597351846279
167,3292,0.00900000000000003,0.00900000000000003,0.237421168666118,0.351778102296279,0.237421168666118,0.527667153444419
168,3292,0.012,0.012,0.236141113988158,0.354491303361706,0.236141113988158,0.531736955042559
169,3292,0.015,0.015,0.234861059310197,0.357204504427132,0.234861059310197,0.535806756640698
170,3292,0.018,0.018,0.233581004632236,0.359917705492559,0.233581004632236,0.539876558238838
171,3292,0.021,0.021,0.232300949954276,0.362630906557985,0.232300949954276,0.543946359836978
172,3292,0.024,0.024,0.231020895276315,0.365344107623412,0.231020895276315,0.548016161435117
173,3292,0.027,0.027,0.229740840598355,0.368057308688838,0.229740840598355,0.552085963033257
174,3292,0.03,0.03,0.228460785920394,0.370770509754265,0.228460785920394,0.556155764631397
175,3292,0.033,0.033,0.227180731242434,0.373483710819691,0.227180731242434,0.560225566229536
176,3292,0.036,0.036,0.225900676564473,0.376196911885117,0.225900676564473,0.564295367827676
177,3292,0.039,0.039,0.224620621886512,0.378910112950544,0.224620621886512,0.568365169425816
178,3292,0.042,0.042,0.223340567208552,0.38162331401597,0.223340567208552,0.572434971023955
179,3292,0.045,0.045,0.222060512530591,0.384336515081397,0.222060512530591,0.576504772622095
180,3292,0.048,0.048,0.220780457852631,0.387049716146823,0.220780457852631,0.580574574220235
181,3292,0,0,0.2412613327,0.3436384991,0.2412613327,0.51545774865
182,3292,0.00299999999999994,-0.00299999999999994,0.242541387377961,0.340925298034574,0.242541387377961,0.51138794705186
183,3292,0.00599999999999999,-0.00599999999999999,0.243821442055921,0.338212096969147,0.243821442055921,0.507318145453721
184,3292,0.00900000000000003,-0.00900000000000003,0.245101496733882,0.335498895903721,0.245101496733882,0.503248343855581
185,3292,0.012,-0.012,0.246381551411842,0.332785694838294,0.246381551411842,0.499178542257441
186,3292,0.015,-0.015,0.247661606089803,0.330072493772868,0.247661606089803,0.495108740659302
187,3292,0.018,-0.018,0.248941660767764,0.327359292707441,0.248941660767764,0.491038939061162
188,3292,0.021,-0.021,0.250221715445724,0.324646091642015,0.250221715445724,0.486969137463022
189,3292,0.024,-0.024,0.251501770123685,0.321932890576588,0.251501770123685,0.482899335864883
190,3292,0.027,-0.027,0.252781824801645,0.319219689511162,0.252781824801645,0.478829534266743
191,3292,0.03,-0.03,0.254061879479606,0.316506488445736,0.254061879479606,0.474759732668603
192,3292,0.033,-0.033,0.255341934157566,0.313793287380309,0.255341934157566,0.470689931070464
193,3292,0.036,-0.036,0.256621988835527,0.311080086314883,0.256621988835527,0.466620129472324
194,3292,0.039,-0.039,0.257902043513488,0.308366885249456,0.257902043513488,0.462550327874184
195,3292,0.042,-0.042,0.259182098191448,0.30565368418403,0.259182098191448,0.458480526276045
196,3292,0.045,-0.045,0.260462152869409,0.302940483118603,0.260462152869409,0.454410724677905
197,3292,0.048,-0.048,0.261742207547369,0.300227282053177,0.261742207547369,0.450340923079765
198,3456,0.00299999999999997,0.00299999999999997,0.235429591008337,0.344091663035995,0.235429591008337,0.516137494553992
199,3456,0.00599999999999999,0.00599999999999999,0.234040320916674,0.34675059677199,0.234040320916674,0.520125895157984
200,3456,0.00899999999999996,0.00899999999999996,0.232651050825011,0.349409530507984,0.232651050825011,0.524114295761976
201,3456,0.012,0.012,0.231261780733349,0.352068464243979,0.231261780733349,0.528102696365969
202,3456,0.015,0.015,0.229872510641686,0.354727397979974,0.229872510641686,0.532091096969961
203,3456,0.018,0.018,0.228483240550023,0.357386331715969,0.228483240550023,0.536079497573953
204,3456,0.021,0.021,0.22709397045836,0.360045265451963,0.22709397045836,0.540067898177945
205,3456,0.024,0.024,0.225704700366697,0.362704199187958,0.225704700366697,0.544056298781937
206,3456,0.027,0.027,0.224315430275034,0.365363132923953,0.224315430275034,0.548044699385929
207,3456,0.03,0.03,0.222926160183372,0.368022066659948,0.222926160183372,0.552033099989922
208,3456,0.033,0.033,0.221536890091709,0.370681000395942,0.221536890091709,0.556021500593914
209,3456,0.036,0.036,0.220147620000046,0.373339934131937,0.220147620000046,0.560009901197906
210,3456,0.039,0.039,0.218758349908383,0.375998867867932,0.218758349908383,0.563998301801898
211,3456,0.042,0.042,0.21736907981672,0.378657801603927,0.21736907981672,0.56798670240589
212,3456,0.045,0.045,0.215979809725057,0.381316735339922,0.215979809725057,0.571975103009882
213,3456,0.048,0.048,0.214590539633395,0.383975669075916,0.214590539633395,0.575963503613874
214,3456,0,0,0.2368188611,0.3414327293,0.2368188611,0.51214909395
215,3456,0.00299999999999997,-0.00299999999999997,0.238208131191663,0.338773795564005,0.238208131191663,0.508160693346008
