CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,Gesamtspektrum
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010560056386223,0.0,0.0,0.0010560056386223
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00132050467808489,0.0,0.0,0.00132050467808489
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00165067373742291,0.0,0.0,0.00165067373742291
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00207821004262795,0.0,0.0,0.00207821004262795
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00260760030228936,0.0,0.0,0.00260760030228936
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00319025618746081,0.0,1.24147015603782e-05,0.003202670889021188
3.2099036620145197e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00386553087971095,0.0,1.52644931430443e-05,0.003884005276516009
4.66422477450515e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00475771288278558,0.0,2.0205495205498102e-05,0.004782582602765583
6.59990026675e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00579225334709918,0.0,2.70810225992094e-05,0.00582593426996514
9.069182041091029e-06,0.0,3.590520347354821e-05,0.0,0.0,0.0,0.0,0.0,0.00691291251532918,0.0,3.33338987859698e-05,0.006991220799629789
1.2384283138934599e-05,0.0,4.3380784600863e-05,0.0,0.0,0.0,0.0,0.0,0.00817130958142127,0.0,4.0862055132076296e-05,0.008267936704293145
1.6856146063218303e-05,0.0,5.6927084243191604e-05,0.0,0.0,0.0,0.0,4.18988860472828e-05,0.0096593581182992,0.0,5.0165439891412106e-05,0.009825205674544306
2.32201247343333e-05,0.0,7.50248016608868e-05,0.0,0.0,0.0,0.0,6.0200321122650206e-05,0.0112512285872668,0.0,6.13334108392349e-05,0.011471007245623905
3.07735649414424e-05,0.0,9.444923864885159e-05,0.0,0.0,0.0,0.0,8.17902561560103e-05,0.0129438718953488,0.0,7.39765589938756e-05,0.013224861514088979
